Model,Word F1,Word Precision,Word Recall,Sentence Accuracy,Char F1,Test Size
CRF,0.12466270912034537,0.12241653418124006,0.12699285321605278,0.029333333333333333,0.9745505605611229,750
Rule-based,0.08879581151832461,0.07171853856562922,0.11654755360087961,0.024,0.0,750
